"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-05-27","82","3.32","5.57","Torrens, Luis",663993,548384,,"called_strike",,,,,3,,"R","L","L","NYM","CIN","S",,,0,1,2026,"-1.17","0.65",0.7060521873829316,3.2143061359862863,,,,0,7,"Top",,,,,,,-3.488968950508528,-119.47367188335575,0.0478385306993413,-10.729871567782771,20.751996123273123,-26.126710393113388,3.366568242,1.699015748,,,,"81.5",2986,"5.6",823626,620443,668901,543760,683146,666182,665742,805999,701807,"54.86",,,,,,,,57,2,"Sweeper",3,2,2,3,2,3,2,3,"Infield shade","Standard",280,"0.011","-0.056",,,,"0.056",,1,-1,0.699,0.30100000000000005,38,30,38,31,1,3,3,2,2,2,"2.71","-1.17","-1.17","29.2",,,,,
"CH","2026-05-27","91.7","-1.28","6.17","Torrens, Luis",668709,623211,,"called_strike",,,,,2,,"R","L","R","NYM","CIN","S",,,0,0,2026,"-1.2","0.15",0.2723147641876038,3.2388887709834306,,,694362,1,1,"Top",,,,,,,6.423043870517915,-133.50725423276813,-1.7404208890631296,-15.674580860435821,26.127671791512313,-30.202399375170618,3.286704396,1.65871063,,,,"91",2168,"5.6",823626,620443,668901,543760,683146,666182,665742,805999,701807,"54.86",,,,,,,,3,1,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",239,"0.004","-0.039",,,,"0.039",,0,0,0.498,0.502,36,28,37,29,1,0,3,1,2,2,"2.54","1.2","-1.2","41.2",,,,,
"SL","2026-05-26","85.4","2.35","5.94","Torrens, Luis",663886,656849,,"called_strike",,,,,6,,"R","R","L","NYM","CIN","S",,,0,0,2026,"-0.31","0.13",0.8092378503446738,2.6074544096177563,,,668709,0,6,"Top",,,,,,,-2.976857808391086,-124.34285331362305,-1.6402453746201666,-2.6655932594749463,24.209714531105583,-30.727964933907987,3.359547244,1.695472441,,,,"86.8",2186,"7.1",823624,620443,676724,543760,683146,666182,669004,805999,701807,"53.44",,,,,,,,44,1,"Slider",0,5,5,0,5,0,5,0,"Standard","Standard",244,"0.001","-0.045",,,,"0.045",,-5,5,0.041,0.959,30,29,31,30,3,2,5,1,5,1,"2.99","-0.31","0.31","36.3",,,,,
"ST","2026-05-26","74.3","3.84","5.14","Torrens, Luis",668715,640455,,"ball",,,,,12,,"R","R","L","NYM","CIN","B",,,2,2,2026,"-1.59","0.36",0.871201548380232,3.0167983701254055,,,,1,7,"Top",,,,,,,-3.1672647724690837,-108.15413543941945,2.495920170561038,-11.803885935517101,20.441543607731248,-30.047026446119336,3.096259843,1.562598425,,,,"74.4",2364,"6.5",823624,620443,668901,543760,683146,666182,669004,805999,701807,"53.97",,,,,,,,54,10,"Sweeper",2,6,6,2,6,2,6,2,"Standard","Standard",286,"-0.002","0.122",,,,"-0.122",,-4,4,0.065,0.935,34,28,34,29,1,3,4,1,6,1,"3.79","-1.59","1.59","13.2",,,,,
"SI","2026-05-25","93.4","-1.93","5.24","Torrens, Luis",553993,690997,,"ball",,,,,11,,"R","R","R","NYM","CIN","B",,,2,1,2026,"-1.44","0.79",-0.9387743658886785,2.592380977037889,,,,0,4,"Top",,,,,,,5.776457031622415,-135.99449755725334,-2.701189536440764,-19.087307850811985,28.59583696682499,-21.905099407684414,3.17085794,1.600246063,,,,"94.3",2171,"6.7",823625,620443,668901,543760,683146,666182,703492,805999,621438,"53.84",,,,,,,,27,4,"Sinker",0,3,3,0,3,0,3,0,"Standard","Standard",226,"-0.006","0.141",,,,"-0.141",,-3,3,0.184,0.8160000000000001,24,34,25,35,2,1,6,2,6,1,"1.81","1.44","1.44","29.0",,,,,
"FF","2026-05-24","95.1","-1.67","5.41","Torrens, Luis",688363,596133,"strikeout","called_strike",,,,,7,"Luis Torrens challenged (pitch result), call on the field was overturned: Graham Pauley called out on strikes.","R","L","R","MIA","NYM","S",2,,2,2,2026,"-0.75","1.75",-0.7463289637955159,1.689282250665034,,,,2,8,"Bot",,,,,,,4.0676071699331775,-138.3159155849594,-7.778805559148434,-10.573157197185768,31.36318322788885,-8.17776337024311,3.254232283,1.642322835,,,,"94",2509,"5.7",823861,620443,668901,543760,683146,666182,621438,805999,701807,"54.78",,0,"0",1,0,0,,67,6,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",206,"-0.022","-0.215",,,,"0.215",,0,0,0.522,0.522,32,25,33,26,1,1,3,1,3,2,"0.78","0.75","-0.75","46.7",,,,,
"FS","2026-05-22","82.8","-0.62","5.89","Torrens, Luis",805300,668964,,"called_strike",,,,,1,,"R","L","R","MIA","NYM","S",,,0,1,2026,"-0.96","0.99",-0.629196845233692,2.982579860489811,,,,0,2,"Bot",,,,,,,1.895639509076986,-120.66171716732698,-1.9401923873866216,-9.72920038005664,23.44995057554606,-22.29450599423699,3.212106299,1.621062992,,,,"83",1643,"6.4",823863,620443,668901,543760,683146,666182,703492,805999,701807,"54.14",,,,,,,,12,2,"Split-Finger",0,1,0,1,1,0,0,1,"Standard","Standard",195,"-0.006","-0.056",,,,"0.056",,-1,-1,0.439,0.439,27,25,28,25,1,0,4,1,3,1,"2.32","0.96","-0.96","61.9",,,,,
"ST","2026-05-18","81.8","3.4","5.58","Torrens, Luis",678554,548384,"walk","ball",,,,,14,"Luis Torrens challenged (pitch result), call on the field was confirmed: Curtis Mead walks.","R","R","L","WSH","NYM","B",,,3,2,2026,"-1.54","0.4",0.9847928242118862,2.121418221085251,,695578,,0,7,"Bot",,,,,,,-2.335101757388804,-119.01691937715863,-1.73202432920194,-14.047349980374548,25.100412835709797,-28.243393247294325,3.247211286,1.638779528,,,,"80.6",2792,"5.7",822734,620443,668901,543760,683146,666182,621438,805999,701807,"54.79",,0.701432,"0.7",1,0,0,,60,7,"Sweeper",3,5,3,5,5,3,3,5,"Standard","Standard",284,"0.06","0.254",,,,"-0.254",,-2,-2,0.334,0.334,38,25,38,26,1,0,2,2,3,2,"3.03","-1.54","1.54","28.0",,,,,
"FC","2026-05-18","87.1","-0.76","6.05","Torrens, Luis",686894,668964,,"ball",,,,,14,,"R","R","R","WSH","NYM","B",,,0,0,2026,"0.27","1.27",0.5114337103995853,1.5196810520279092,678554,,683083,2,7,"Bot",,,,,,,2.4549850720768776,-126.78097750183785,-7.192302840468855,2.4533176500391365,24.5542906164682,-17.173359548729472,3.38324311,1.707431102,,,,"87.9",2220,"6.7",822734,620443,668901,543760,683146,666182,621438,805999,701807,"53.84",,,,,,,,64,1,"Cutter",4,5,4,5,5,4,4,5,"Standard","Standard",173,"0.005","0.026",,,,"-0.026",,-1,-1,0.364,0.364,27,27,28,27,1,2,3,2,4,,"1.71","-0.27","-0.27","62.4",,,,,
"SL","2026-05-16","86.8","2.27","6.01","Torrens, Luis",663757,656849,"strikeout","called_strike",,,,,1,"Luis Torrens challenged (pitch result), call on the field was overturned: Trent Grisham called out on strikes.","R","L","L","NYM","NYY","S",2,,1,2,2026,"-0.23","0.05",-0.3716438224377776,3.2348617680068057,,,,1,4,"Top",,,,,,,-5.8287740801124555,-126.34019117552991,-0.36773030623194614,-1.3037843114399683,25.10744855497385,-31.772675767249652,3.138385827,1.583858268,,,,"88.1",2427,"7",823627,620443,668901,543760,683146,666182,665742,805999,701807,"53.48",,0,"0",1,0,0,,29,4,"Slider",2,1,1,2,1,2,1,2,"Infield shade","Standard",237,"0.014","-0.178",,,,"0.178",,1,-1,0.658,0.34199999999999997,30,29,31,30,2,1,6,1,5,1,"2.97","-0.23","-0.23","39.2",,,,,
