"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FC","2026-05-07","87.4","-3.03","5.19","Alvarez, Francisco",664954,681035,,"ball",,,,,11,,"R","L","R","COL","NYM","B",,,2,1,2026,"0.52","0.07",-0.5626012953703126,3.357657698711512,,691720,,1,3,"Bot",,,,,,,4.865062242753961,-127.48100660872731,1.578072862198229,5.086841747174589,18.08454938294258,-31.75393231459572,3.174368438,1.602017717,,,,"89.8",2606,"6.9",824362,682626,668901,543760,666182,660644,628451,621438,596103,"53.55",,,,,,,,21,4,"Cutter",0,2,0,2,2,0,0,2,"Strategic","Standard",141,"0.009","0.071",,,,"-0.071",,-2,-2,0.352,0.352,27,32,27,32,1,0,6,4,6,1,"2.83","-0.52","0.52","28.7",,,,,
"FF","2026-05-07","94","-2.06","5.02","Alvarez, Francisco",666160,681810,,"ball",,,,,13,,"R","L","R","COL","NYM","B",,,0,0,2026,"-1.01","0.91",-0.8649959222294202,2.2776077587012185,,,,1,7,"Bot",,,,,,,5.371582718277768,-136.92803424159374,-3.3376985741699876,-13.833264336322951,26.754738345047823,-20.11727747471783,3.254232283,1.642322835,,,,"95.1",2434,"6.6",824362,682626,668901,543760,666182,660644,701807,621438,596103,"53.9",,,,,,,,57,1,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",229,"0.004","0.039",,,,"-0.039",,0,0,0.55,0.55,30,28,30,28,1,3,3,1,2,1,"1.64","1.01","-1.01","28.9",,,,,
"ST","2026-05-06","72.9","3.43","5.1","Torrens, Luis",671289,640455,,"ball",,,,,13,,"R","R","L","COL","NYM","B",,,0,0,2026,"-1.19","0.45",-0.6590470458294402,1.45917676779341,666160,696100,681198,1,9,"Bot",,,,,,,-6.067580573040166,-106.12429703915981,-0.5989256553685112,-8.16276682247424,16.13332255102645,-28.83100054984002,3.150672572,1.590059055,,,,"73.6",2329,"6.6",824361,620443,668901,543760,683146,666182,665742,701807,621438,"53.94",,,,,,,,85,1,"Sweeper",4,10,4,10,10,4,4,10,"Standard","Standard",270,"0.003","0.038",,,,"-0.038",,-6,-6,0.018,0.018,34,27,34,27,1,4,7,2,4,1,"3.79","-1.19","1.19","16.6",,,,,
"SI","2026-05-06","88.6","3.19","5.22","Torrens, Luis",666160,640455,,"called_strike",,,,,4,,"R","L","L","COL","NYM","S",,,2,1,2026,"1.21","0.47",-0.8038658241686982,2.59987698439263,,,,1,9,"Bot",,,,,,,-12.275942028163556,-128.69971513382865,-1.252126462604044,15.694419895828624,20.81430153792799,-26.87217390123087,3.254232283,1.642322835,,,,"89.9",2132,"6.7",824361,620443,668901,543760,683146,666182,665742,701807,621438,"53.79",,,,,,,,82,4,"Sinker",4,10,4,10,10,4,4,10,"Infield shade","Standard",125,"0","-0.07",,,,"0.07",,-6,-6,0.001,0.001,34,28,34,28,1,4,7,2,4,1,"2.4","1.21","1.21","19.1",,,,,
"CH","2026-05-06","83.8","-2.51","5.13","Torrens, Luis",691720,642207,,"ball",,,,,13,,"R","R","R","COL","NYM","B",,,1,2,2026,"-1.58","-0.12",-0.6642430279921061,1.507935968996661,696100,681198,671289,2,9,"Bot",,,,,,,7.518224876281308,-121.94271365982698,-1.5620914091888491,-17.235433577101887,22.0547386078049,-33.25901093140818,3.431512467,1.731791339,,,,"85.4",2806,"7.2",824361,620443,668901,543760,683146,666182,665742,701807,621438,"53.34",,,,,,,,87,4,"Changeup",5,10,5,10,10,5,5,10,"Standard","Standard",272,"0.002","0.034",,,,"-0.034",,-5,-5,0.012,0.012,31,23,32,24,1,4,2,2,2,1,"3.34","1.58","1.58","14.3",,,,,
"SL","2026-05-04","90.3","2.12","6.06","Torrens, Luis",671289,656849,"strikeout","called_strike",,,,,2,"Luis Torrens challenged (pitch result), call on the field was overturned: Tyler Freeman called out on strikes.","R","R","L","COL","NYM","S",2,,2,2,2026,"0.18","0.52",0.10037582545996354,3.2282810084578006,,,,2,6,"Bot",,,,,,,-5.439210821563014,-131.70377011662393,-2.1991477454816977,2.9791696134042804,21.707392727803036,-25.86233176416807,3.150672572,1.590059055,,,,"92.8",2168,"7.2",824363,620443,668901,543760,683146,666182,665742,701807,621438,"53.32",,0,"0",1,0,0,,43,5,"Slider",0,4,0,4,4,0,0,4,"Standard","Standard",149,"-0.006","-0.224",,,,"0.224",,-4,-4,0.065,0.065,30,27,31,27,1,2,5,3,6,2,"2.22","0.18","-0.18","39.7",,,,,
"FF","2026-05-04","91.5","-3.13","4.71","Torrens, Luis",671289,518886,,"ball",,,,,12,,"R","R","R","COL","NYM","B",,,1,1,2026,"-0.9","1.08",0.9152444894752146,2.8135488428722626,666160,,,1,8,"Bot",,,,,,,12.143329926338065,-132.87489449183835,-1.1480803031051785,-13.045898267534692,25.44306301316319,-19.21778130938967,3.150672572,1.590059055,,,,"92.7",2319,"6.9",824363,620443,668901,543760,683146,666182,665742,701807,621438,"53.63",,,,,,,,58,3,"4-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard",225,"0.011","0.027",,,,"-0.027",,-2,-2,0.221,0.221,38,27,38,27,1,3,2,3,3,2,"1.63","0.9","0.9","23.1",,,,,
"SI","2026-05-02","94.9","-3.94","5.13","Alvarez, Francisco",672724,690997,,"ball",,,,,11,,"R","R","R","LAA","NYM","B",,,2,2,2026,"-1.71","0.35",-0.2861125165476177,3.3542079280458896,,,687093,2,4,"Bot",,,,,,,13.350520678321262,-137.45826316859822,0.4870134491416014,-24.752304659160867,32.395395773998416,-28.17764105333499,3.186655184,1.608218504,,,,"94.8",2143,"6.6",824042,682626,668901,543760,666182,677595,628451,621438,596103,"53.9",,,,,,,,32,5,"Sinker",3,1,3,1,1,3,3,1,"Standard","Standard",228,"0.004","0.079",,,,"-0.079",,2,2,0.765,0.765,24,26,25,26,2,1,6,1,6,1,"2.22","1.71","1.71","30.9",,,,,
"FC","2026-05-01","90.3","-3.13","5.29","Alvarez, Francisco",545361,681035,,"ball",,,,,12,,"R","R","R","LAA","NYM","B",,,1,2,2026,"0.09","0.39",0.8899920147304718,2.592014698460884,,,687263,0,3,"Bot",,,,,,,9.736098855243853,-131.18289120672773,-1.4485630816624147,-0.9353381967374156,26.43744795962415,-27.514092665285276,3.243700787,1.637007874,,,,"90.9",,"6.6",824041,682626,683146,543760,666182,677595,665742,621438,701807,"53.85",,,,,,,,20,4,"Cutter",2,0,2,0,0,2,2,0,"Standard","Strategic",,"0.004","0.036",,,,"-0.036",,2,2,0.782,0.782,27,34,27,35,2,1,8,2,6,1,"2.4","-0.09","-0.09","30.2",,,,,
"FF","2026-04-30","93.7","-2.37","5.22","Torrens, Luis",660688,642207,,"called_strike",,,,,6,,"R","L","R","NYM","WSH","S",,,1,1,2026,"-1.14","1.39",0.6950097110771452,2.412569392128967,,683083,,0,9,"Top",,,,,,,10.608912202234189,-135.96726496225295,-4.468252820551868,-16.588700972979357,33.03160899516889,-14.119032023859777,3.175246063,1.60246063,,,,"95.2",2340,"7.6",823634,620443,668901,543760,666182,677595,596103,621438,701807,"52.95",,,,,,,,67,3,"4-Seam Fastball",4,5,5,4,5,4,5,4,"Strategic","Standard",225,"0.008","-0.08",,,,"0.08",,-1,1,0.119,0.881,31,27,32,28,1,0,4,1,1,2,"1.24","1.14","-1.14","22.5",,,,,
