,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
397,Jes\xc3\xbas S\xc3\xa1nchez,28,1,Maj-AL,Toronto,42,139,127,16,33,5,0,5,18,6,1,27,3,0,3,3,1,0,0.26,0.302,0.417,0.719,660821
398,Javier Sanoja,23,0,Maj-NL,Miami,33,95,87,3,22,4,0,0,10,8,0,11,0,0,0,1,2,1,0.253,0.316,0.299,0.615,691594
399,Carlos Santana,40,39,Maj-NL,Arizona,8,26,24,1,2,1,0,0,0,2,0,8,0,0,0,0,0,0,0.083,0.154,0.125,0.279,467793
400,Nolan Schanuel,24,2,Maj-AL,Los Angeles,40,171,157,14,41,10,0,3,20,11,0,28,1,0,2,8,0,1,0.261,0.31,0.382,0.692,694384
401,Casey Schmitt,27,0,Maj-NL,San Francisco,36,146,134,17,37,8,1,6,18,6,0,32,5,0,1,2,3,1,0.276,0.329,0.485,0.814,669477
402,Daniel Schneemann,29,1,Maj-AL,Cleveland,37,129,114,16,31,8,0,4,18,15,0,38,0,0,0,1,3,2,0.272,0.357,0.447,0.804,682177
403,Davis Schneider,27,2,Maj-AL,Toronto,31,73,57,13,8,3,0,1,8,16,0,24,0,0,0,1,1,0,0.14,0.329,0.246,0.574,676914
404,Max Schuemann,29,2,Maj-AL,New York,7,13,11,1,3,2,0,0,1,2,0,3,0,0,0,0,0,2,0.273,0.385,0.455,0.839,680474
405,Kyle Schwarber,33,0,Maj-NL,Philadelphia,44,197,164,30,37,7,1,18,30,29,0,63,4,0,0,1,1,0,0.226,0.355,0.61,0.965,656941
406,Victor Scott II,25,0,Maj-NL,St. Louis,41,122,104,14,19,2,0,2,6,8,0,34,1,8,1,2,6,3,0.183,0.246,0.26,0.505,687363
407,Corey Seager,32,1,Maj-AL,Texas,42,182,156,22,28,6,0,7,20,22,2,50,2,0,2,5,1,0,0.179,0.286,0.353,0.638,608369
408,Marcus Semien,35,0,Maj-NL,New York,43,169,154,15,35,6,0,3,14,12,0,33,1,1,1,3,5,1,0.227,0.286,0.325,0.61,543760
409,Hayden Senger,29,0,Maj-NL,New York,1,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,663584
410,Matt Shaw,24,0,Maj-NL,Chicago,36,97,90,10,23,6,0,3,11,5,0,17,0,1,1,1,3,1,0.256,0.292,0.422,0.714,807713
411,Gavin Sheets,30,0,Maj-NL,San Diego,38,128,118,15,27,9,0,6,16,9,0,26,1,0,0,4,2,0,0.229,0.289,0.458,0.747,657757
412,Braden Shewmake,28,0,Maj-AL,Houston,14,38,37,6,14,1,0,3,6,0,0,6,0,1,0,0,0,0,0.378,0.378,0.649,1.027,669699
413,Zack Short,31,1,Maj-AL,Detroit,6,13,9,1,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0.0,0.308,0.0,0.308,670097
414,Chandler Simpson,25,1,Maj-AL,Tampa Bay,41,173,160,23,49,1,3,0,12,8,0,17,0,3,2,0,14,4,0.306,0.335,0.35,0.685,802415
415,Austin Slater,33,2,Maj-NL,"Miami,New York",20,46,41,3,9,1,0,0,2,4,0,14,0,0,1,1,1,0,0.22,0.283,0.244,0.527,596103
417,Cam Smith,23,0,Maj-AL,Houston,44,171,148,18,30,6,0,4,17,18,0,48,2,0,2,5,6,1,0.203,0.294,0.324,0.618,701358
418,Dominic Smith,31,0,Maj-NL,Atlanta,34,93,85,13,30,3,0,4,18,4,0,13,1,1,2,1,0,0,0.353,0.38,0.529,0.91,642086
419,Josh Smith,28,11,Maj-AL,Texas,31,108,92,6,20,2,0,0,6,14,1,20,1,0,1,1,2,1,0.217,0.324,0.239,0.563,669701
420,Pavin Smith,30,47,Maj-NL,Arizona,2,8,6,1,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0.167,0.375,0.167,0.542,656976
421,Will Smith,31,0,Maj-NL,Los Angeles,37,140,124,13,32,3,0,4,18,14,0,25,0,0,2,2,0,0,0.258,0.329,0.379,0.708,669257
422,Tyler Soderstrom,24,0,Maj-AL,Athletics,40,173,154,22,30,12,1,5,20,18,1,36,0,0,1,5,1,0,0.195,0.277,0.383,0.661,691016
423,Jorge Soler,34,1,Maj-AL,Los Angeles,40,170,145,20,32,7,0,8,28,18,0,55,4,0,3,5,0,0,0.221,0.318,0.434,0.752,624585
424,Sung-Mun Song,29,0,Maj-NL,San Diego,8,16,13,3,2,1,0,0,3,3,0,4,0,0,0,0,2,0,0.154,0.313,0.231,0.543,823550
425,Edmundo Sosa,30,0,Maj-NL,Philadelphia,24,70,68,6,17,3,0,1,11,2,0,15,0,0,0,1,2,0,0.25,0.271,0.338,0.61,624641
426,Lenyn Sosa,26,1,Maj-AL,"Chicago,Toronto",31,91,89,8,19,6,0,1,9,0,0,20,0,1,1,2,0,0,0.213,0.211,0.315,0.526,672820
427,Juan Soto,27,0,Maj-NL,New York,28,120,104,13,28,4,1,5,13,15,3,18,0,0,1,1,1,1,0.269,0.358,0.471,0.829,665742
428,George Springer,36,1,Maj-AL,Toronto,25,107,94,9,19,5,0,2,8,11,0,20,1,0,0,0,1,1,0.202,0.292,0.319,0.612,543807
429,Giancarlo Stanton,36,20,Maj-AL,New York,24,96,90,8,23,6,0,3,14,6,0,29,0,0,0,2,1,0,0.256,0.302,0.422,0.724,519317
430,Spencer Steer,28,0,Maj-NL,Cincinnati,42,165,147,22,38,7,0,7,14,14,0,36,3,0,1,4,2,0,0.259,0.333,0.449,0.782,668715
431,Michael Stefanic,30,0,Maj-AL,Athletics,2,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,683021
432,Tyler Stephenson,29,1,Maj-NL,Cincinnati,35,123,107,7,20,4,0,3,11,15,0,34,0,0,1,2,0,0,0.187,0.285,0.308,0.593,663886
433,Sal Stewart,22,0,Maj-NL,Cincinnati,44,192,168,26,41,8,0,10,30,22,1,38,0,0,2,4,9,0,0.244,0.328,0.47,0.798,701398
434,Trevor Story,33,0,Maj-AL,Boston,41,176,165,16,34,7,0,3,19,8,0,57,1,0,2,6,4,0,0.206,0.244,0.303,0.547,596115
435,Bryson Stott,28,0,Maj-NL,Philadelphia,38,141,131,12,29,6,2,3,17,7,0,25,1,2,0,2,8,0,0.221,0.266,0.366,0.633,681082
436,Kyle Stowers,28,0,Maj-NL,Miami,22,91,79,10,17,4,0,1,3,10,1,21,2,0,0,4,1,1,0.215,0.319,0.304,0.622,669065
437,Myles Straw,31,1,Maj-AL,Toronto,36,80,69,17,20,3,0,2,6,9,0,11,0,1,1,1,1,1,0.29,0.367,0.42,0.787,664702
438,Garrett Stubbs,33,7,Maj-NL,Philadelphia,7,18,16,2,4,0,0,0,1,1,0,3,0,0,1,0,0,0,0.25,0.278,0.25,0.528,596117
439,Eugenio Su\xc3\xa1rez,34,22,Maj-NL,Cincinnati,25,100,91,10,21,3,0,3,11,9,0,30,0,0,0,1,0,0,0.231,0.3,0.363,0.663,553993
440,Brett Sullivan,32,1,Maj-NL,Colorado,23,72,66,3,14,6,0,0,7,4,0,17,1,1,0,2,0,0,0.212,0.268,0.303,0.571,664954
441,Daniel Susac,25,25,Maj-NL,San Francisco,11,24,23,1,11,2,1,0,5,1,0,3,0,0,0,1,0,1,0.478,0.5,0.652,1.152,691740
443,Seiya Suzuki,31,0,Maj-NL,Chicago,30,131,110,19,29,3,0,7,16,18,3,32,2,0,1,2,0,0,0.264,0.374,0.482,0.856,673548
444,Dansby Swanson,32,0,Maj-NL,Chicago,43,170,143,26,27,3,1,6,25,23,0,36,1,0,3,2,3,0,0.189,0.3,0.35,0.65,621020
445,Fernando Tatis Jr.,27,0,Maj-NL,San Diego,42,180,156,15,38,5,1,0,15,18,1,45,1,1,4,4,10,4,0.244,0.318,0.288,0.607,665487
446,Leody Taveras,27,1,Maj-AL,Baltimore,36,119,101,13,25,5,1,2,19,16,0,25,0,2,0,0,2,1,0.248,0.35,0.376,0.727,665750
447,Tim Tawa,27,2,Maj-NL,Arizona,21,55,46,4,7,2,0,1,6,7,0,11,0,1,1,1,0,1,0.152,0.259,0.261,0.52,694374
448,Tyrone Taylor,32,0,Maj-NL,New York,35,82,77,4,14,2,0,2,11,2,0,15,0,3,0,0,0,1,0.182,0.203,0.286,0.488,621438
449,Jos\xc3\xa9 Tena,25,0,Maj-NL,Washington,33,84,77,13,21,6,1,2,11,6,0,24,1,0,0,5,0,0,0.273,0.333,0.455,0.788,677588
450,Bryce Teodosio,27,1,Maj-AL,Los Angeles,33,49,45,5,10,2,0,0,2,3,0,17,0,1,0,1,4,1,0.222,0.271,0.267,0.538,669326
451,Alek Thomas,26,7,Maj-NL,Arizona,28,100,94,12,17,9,0,2,10,3,0,23,2,1,0,3,4,0,0.181,0.222,0.34,0.563,677950
452,Colby Thomas,25,0,Maj-AL,Athletics,11,31,28,3,10,1,0,1,3,2,0,7,0,1,0,0,0,0,0.357,0.4,0.5,0.9,687515
453,Lane Thomas,30,0,Maj-AL,Kansas City,35,97,77,8,16,1,0,1,8,17,0,19,1,0,2,1,3,2,0.208,0.351,0.26,0.61,657041
454,Tyler Tolbert,28,26,Maj-AL,Kansas City,7,5,5,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0.2,0.2,0.2,0.4,686475
455,Spencer Torkelson,26,0,Maj-AL,Detroit,43,169,142,14,28,8,0,6,16,24,0,54,2,0,1,3,0,1,0.197,0.32,0.38,0.7,679529
456,Luis Torrens,30,1,Maj-NL,New York,20,56,51,6,11,4,0,0,8,3,0,11,1,1,0,0,0,0,0.216,0.273,0.294,0.567,620443
457,Gleyber Torres,29,12,Maj-AL,Detroit,32,144,116,18,30,2,0,2,11,25,0,22,1,0,2,2,0,0,0.259,0.389,0.328,0.716,650402
458,Ezequiel Tovar,24,0,Maj-NL,Colorado,43,157,146,12,29,8,0,1,11,8,0,44,2,0,1,1,3,0,0.199,0.248,0.274,0.522,678662
459,Taylor Trammell,28,24,Maj-AL,Houston,10,33,29,4,10,1,1,0,4,4,0,9,0,0,0,0,1,0,0.345,0.424,0.448,0.873,666211
460,Jose Trevino,33,0,Maj-NL,Cincinnati,10,30,28,2,4,1,0,0,2,1,0,5,0,1,0,0,0,0,0.143,0.172,0.179,0.351,624431
461,Jared Triolo,28,0,Maj-NL,Pittsburgh,15,45,41,2,10,2,0,0,3,3,0,8,1,0,0,2,1,0,0.244,0.311,0.293,0.604,669707
462,Mike Trout,34,1,Maj-AL,Los Angeles,43,195,153,33,38,6,0,11,23,39,4,51,3,0,0,3,5,0,0.248,0.41,0.503,0.914,545361
463,Kyle Tucker,29,0,Maj-NL,Los Angeles,43,185,158,29,40,12,0,4,20,24,0,36,1,0,2,0,3,0,0.253,0.351,0.405,0.756,663656
464,Brice Turang,26,0,Maj-NL,Milwaukee,38,175,141,33,42,10,1,6,27,31,1,35,0,2,1,3,8,2,0.298,0.422,0.511,0.933,668930
465,Trea Turner,33,0,Maj-NL,Philadelphia,43,190,176,25,41,7,0,4,13,13,0,40,0,0,1,3,5,1,0.233,0.284,0.341,0.625,607208
466,Ram\xc3\xb3n Ur\xc3\xadas,32,11,Maj-NL,St. Louis,25,68,57,9,9,3,0,2,5,6,0,12,4,0,1,1,0,1,0.158,0.279,0.316,0.595,602104
467,Brandon Valenzuela,25,1,Maj-AL,Toronto,25,70,63,10,14,1,0,4,10,7,0,20,0,0,0,0,0,0,0.222,0.3,0.429,0.729,678218
469,George Valera,25,16,Maj-AL,Cleveland,13,38,37,1,8,3,0,0,6,1,0,8,0,0,0,1,0,0,0.216,0.237,0.297,0.534,671655
470,Ildemaro Vargas,34,1,Maj-NL,Arizona,35,146,139,22,46,7,2,7,28,5,0,16,0,1,0,0,1,0,0.331,0.354,0.561,0.915,545121
471,Miguel Vargas,26,0,Maj-AL,Chicago,42,185,150,31,36,5,1,9,23,30,1,31,3,0,2,3,6,0,0.24,0.373,0.467,0.84,678246
472,Daulton Varsho,29,1,Maj-AL,Toronto,41,159,144,19,36,7,0,5,13,13,2,30,2,0,0,0,3,0,0.25,0.321,0.403,0.724,662139
473,Andrew Vaughn,28,0,Maj-NL,Milwaukee,8,30,24,5,7,2,0,1,6,4,0,4,2,0,0,0,0,0,0.292,0.433,0.5,0.933,683734
474,Christian V\xc3\xa1zquez,35,1,Maj-AL,Houston,25,84,76,7,20,4,0,3,12,6,0,15,0,2,0,1,0,0,0.263,0.317,0.434,0.751,543877
475,Mark Vientos,26,0,Maj-NL,New York,35,129,120,14,29,5,0,6,19,7,0,27,1,0,1,3,0,0,0.242,0.287,0.433,0.72,668901
476,Matt Vierling,29,1,Maj-AL,Detroit,35,113,100,9,20,9,0,2,17,11,0,18,0,0,2,3,1,0,0.2,0.274,0.35,0.624,663837
477,Ryan Vilade,27,2,Maj-AL,Tampa Bay,25,63,57,6,16,3,0,2,10,5,0,12,0,1,0,1,1,0,0.281,0.339,0.439,0.777,668723
478,Jorbit Vivas,25,0,Maj-NL,Washington,33,93,79,13,20,4,0,0,3,6,0,12,4,2,1,3,0,1,0.253,0.333,0.304,0.637,678391
479,Anthony Volpe,25,1,Maj-AL,New York,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,683011
480,Ryan Waldschmidt,23,1,Maj-NL,Arizona,6,19,18,1,5,2,0,0,3,1,0,5,0,0,0,0,0,1,0.278,0.316,0.389,0.705,814439
481,Christian Walker,35,0,Maj-AL,Houston,45,183,163,26,44,10,0,10,29,17,1,34,2,0,1,7,0,0,0.27,0.344,0.515,0.86,572233
482,Jordan Walker,24,0,Maj-NL,St. Louis,42,181,160,33,47,9,0,12,32,19,0,50,1,0,1,2,7,3,0.294,0.37,0.575,0.945,691023
483,Matt Wallner,28,1,Maj-AL,Minnesota,34,135,120,14,20,3,0,4,10,10,0,53,5,0,0,2,0,1,0.167,0.259,0.292,0.551,670242
484,Taylor Walls,29,1,Maj-AL,Tampa Bay,31,111,92,14,19,3,1,0,8,13,0,26,1,5,0,1,6,2,0.207,0.311,0.261,0.572,670764
485,Ryan Ward,28,24,Maj-NL,Los Angeles,2,6,6,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,669899
486,Taylor Ward,32,1,Maj-AL,Baltimore,43,195,151,28,40,14,0,1,12,42,0,35,1,0,1,2,1,2,0.265,0.426,0.377,0.803,621493
487,Austin Wells,26,2,Maj-AL,New York,33,120,100,11,18,1,0,3,5,19,2,27,0,0,1,3,0,0,0.18,0.308,0.28,0.588,669224
488,JJ Wetherholt,23,0,Maj-NL,St. Louis,43,198,164,33,40,5,0,8,22,22,1,35,10,0,2,0,5,0,0.244,0.364,0.421,0.784,802139
489,Shay Whitcomb,27,2,Maj-AL,Houston,13,17,16,1,2,0,0,1,4,1,0,9,0,0,0,0,0,0,0.125,0.176,0.313,0.489,694376
490,Eli White,32,4,Maj-NL,Atlanta,26,62,59,8,14,1,1,2,10,2,0,12,0,0,1,0,1,0,0.237,0.258,0.39,0.648,642201
491,Joey Wiemer,27,0,Maj-NL,Washington,29,76,66,14,19,4,1,3,10,10,0,29,0,0,0,2,1,0,0.288,0.382,0.515,0.897,686894
492,Carson Williams,23,41,Maj-AL,Tampa Bay,7,25,23,4,3,1,0,0,3,1,0,9,0,1,0,0,0,0,0.13,0.167,0.174,0.341,700246
493,Luke Williams,29,32,Maj-NL,Atlanta,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,,663897
495,Ben Williamson,25,1,Maj-AL,Tampa Bay,38,126,111,19,30,6,1,0,14,14,0,23,0,1,0,3,4,1,0.27,0.352,0.342,0.694,810938
496,Jacob Wilson,24,4,Maj-AL,Athletics,39,168,161,18,47,8,0,3,19,5,0,20,0,1,1,4,2,0,0.292,0.311,0.398,0.709,805779
497,Weston Wilson,31,1,Maj-AL,Baltimore,13,34,27,5,7,1,0,0,2,6,0,10,1,0,0,0,2,1,0.259,0.412,0.296,0.708,642215
498,Will Wilson,27,15,Maj-AL,Seattle,2,6,5,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0.2,0.333,0.8,1.133,669717
499,Masyn Winn,24,0,Maj-NL,St. Louis,38,163,143,17,37,7,2,1,16,14,0,30,4,0,2,2,4,1,0.259,0.337,0.357,0.694,691026
500,Patrick Wisdom,34,30,Maj-AL,Seattle,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621550
501,Bobby Witt Jr.,26,0,Maj-AL,Kansas City,44,197,173,22,53,11,1,7,22,22,2,33,0,0,2,6,13,2,0.306,0.381,0.503,0.884,677951
502,Connor Wong,30,1,Maj-AL,Boston,18,57,49,3,12,5,0,0,7,4,0,11,2,2,0,1,1,0,0.245,0.327,0.347,0.674,657136
503,James Wood,23,0,Maj-NL,Washington,44,207,167,36,39,11,0,12,29,37,6,66,3,0,0,1,7,1,0.234,0.382,0.515,0.897,695578
504,Gage Workman,26,0,Maj-AL,Detroit,4,11,11,2,4,2,0,2,5,0,0,2,0,0,0,0,0,0,0.364,0.364,1.091,1.455,669398
505,Austin Wynns,35,9,Maj-AL,Athletics,14,43,39,3,3,0,0,0,0,3,0,10,0,1,0,0,0,0,0.077,0.143,0.077,0.22,642851
506,Mike Yastrzemski,35,0,Maj-NL,Atlanta,41,131,120,17,26,5,1,1,10,9,0,32,2,0,0,1,1,0,0.217,0.282,0.3,0.582,573262
507,Christian Yelich,34,2,Maj-NL,Milwaukee,16,60,55,10,16,2,1,1,10,5,2,16,0,0,0,0,3,0,0.291,0.35,0.418,0.768,592885
508,Nick Yorke,24,4,Maj-NL,Pittsburgh,26,83,73,6,15,3,0,1,6,7,0,16,2,0,1,3,0,0,0.205,0.289,0.288,0.577,694377
509,Masataka Yoshida,32,0,Maj-AL,Boston,28,87,73,8,20,4,0,0,5,12,0,8,2,0,0,0,1,0,0.274,0.391,0.329,0.72,807799
510,Cole Young,22,0,Maj-AL,Seattle,45,177,157,20,39,7,1,3,24,15,0,41,4,0,1,1,2,2,0.248,0.328,0.363,0.691,702284
511,Jacob Young,26,0,Maj-NL,Washington,42,158,147,19,32,5,0,3,17,8,0,27,2,1,0,1,2,1,0.218,0.268,0.313,0.58,696285
512,Jared Young,30,32,Maj-NL,New York,11,23,20,2,7,2,0,0,2,2,0,3,0,0,1,0,0,0,0.35,0.391,0.45,0.841,676724
