,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
281,Coby Mayo,24,1,Maj-AL,Baltimore,37,120,109,12,19,4,0,4,16,10,0,37,0,0,1,2,1,0,0.174,0.242,0.321,0.563,691723
282,James McCann,36,4,Maj-NL,Arizona,19,58,55,3,11,3,0,0,6,1,0,17,0,2,0,3,0,0,0.2,0.214,0.255,0.469,543510
283,Jake McCarthy,28,1,Maj-NL,Colorado,33,93,80,9,23,7,2,2,16,8,0,16,1,3,1,1,7,2,0.288,0.356,0.5,0.856,664983
284,Andrew McCutchen,39,3,Maj-AL,Texas,27,62,55,6,12,2,0,1,5,6,0,19,0,0,1,0,0,0,0.218,0.29,0.309,0.599,457705
285,Kevin McGonigle,21,0,Maj-AL,Detroit,42,185,157,27,46,12,2,2,16,26,0,24,2,0,0,0,7,0,0.293,0.4,0.433,0.833,805808
287,Reese McGuire,31,21,Maj-AL,Chicago,11,34,29,1,5,0,0,0,3,2,0,9,2,1,0,0,0,0,0.172,0.273,0.172,0.445,624512
288,Zach McKinstry,31,0,Maj-AL,Detroit,22,72,66,2,12,3,0,1,5,6,0,15,0,0,0,2,1,1,0.182,0.25,0.273,0.523,656716
289,Matt McLain,26,0,Maj-NL,Cincinnati,44,179,154,18,33,8,0,4,16,22,0,40,2,1,0,3,5,2,0.214,0.32,0.344,0.664,680574
290,Ryan McMahon,31,1,Maj-AL,New York,42,124,112,11,22,3,0,3,13,12,0,39,0,0,0,3,1,0,0.196,0.274,0.304,0.578,641857
291,Jeff McNeil,34,0,Maj-AL,Athletics,40,144,127,11,35,8,0,1,12,11,0,19,3,1,2,1,1,2,0.276,0.343,0.362,0.705,643446
292,Curtis Mead,25,1,Maj-NL,Washington,32,104,88,16,20,7,0,4,15,14,0,17,2,0,0,1,3,1,0.227,0.346,0.443,0.789,678554
293,Parker Meadows,26,35,Maj-AL,Detroit,12,39,36,3,9,1,1,0,2,2,0,10,1,0,0,0,3,0,0.25,0.308,0.333,0.641,678009
294,Chase Meidroth,24,0,Maj-AL,Chicago,41,176,153,27,43,9,0,3,10,17,0,43,0,3,2,3,1,0,0.281,0.349,0.399,0.748,805367
295,MJ Melendez,27,0,Maj-NL,New York,23,61,52,6,13,3,1,2,6,7,0,21,1,1,0,0,0,1,0.25,0.35,0.462,0.812,669004
296,Jackson Merrill,23,1,Maj-NL,San Diego,41,176,158,22,34,8,0,4,18,15,2,44,1,2,0,4,8,0,0.215,0.287,0.342,0.629,701538
297,Jake Meyers,30,36,Maj-AL,Houston,12,43,37,5,9,2,0,1,4,4,0,8,1,0,1,0,1,2,0.243,0.326,0.378,0.704,676694
298,Drew Millas,28,0,Maj-NL,Washington,29,75,67,9,12,3,0,1,6,6,0,21,0,1,0,0,0,0,0.179,0.247,0.269,0.515,686452
299,Garrett Mitchell,27,0,Maj-NL,Milwaukee,38,141,116,17,25,8,1,1,22,22,1,52,1,1,1,2,6,3,0.216,0.343,0.328,0.67,669003
300,Andruw Monasterio,29,0,Maj-AL,Boston,20,67,62,8,16,7,0,1,9,5,0,13,0,0,0,1,1,2,0.258,0.313,0.419,0.733,655316
301,Yo\xc3\xa1n Moncada,31,1,Maj-AL,Los Angeles,38,123,105,9,20,1,1,3,9,16,0,43,2,0,0,2,0,0,0.19,0.309,0.305,0.614,660162
